MH 60  15% -3.5gap
 1.0000000     0.0224278
 0.9817082     0.0214931
 0.9498212     0.0215449
 0.9141647     0.0230187
 0.8770743     0.0256997
 0.8391338     0.0293329
 0.8005895     0.0336230
 0.7616200     0.0383405
 0.7223164     0.0432899
 0.7062021     0.0453476
 0.6854396     0.0492046
 0.6468630     0.0562700
 0.6085569     0.0628895
 0.5704067     0.0689627
 0.5323509     0.0744129
 0.4943227     0.0791924
 0.4562771     0.0832754
 0.4182040     0.0866479
 0.3801994     0.0892818
 0.3424029     0.0910944
 0.3049255     0.0919706
 0.2678899     0.0917659
 0.2313958     0.0903196
 0.1956293     0.0874691
 0.1608717     0.0830338
 0.1275844     0.0768559
 0.0965747     0.0688671
 0.0691925     0.0593004
 0.0469493     0.0488872
 0.0305368     0.0387848
 0.0191741     0.0297887
 0.0115069     0.0220936
 0.0063818     0.0154832
 0.0029902     0.0096796
 0.0008724     0.0045802
 0.0000000     0.0000000
 0.0006168    -0.0043045
 0.0031158    -0.0086530
 0.0070131    -0.0132305
 0.0126466    -0.0180987
 0.0208059    -0.0233993
 0.0324498    -0.0294203
 0.0491871    -0.0360700
 0.0725414    -0.0429624
 0.1017578    -0.0490927
 0.1348436    -0.0537687
 0.1700966    -0.0569067
 0.2066214    -0.0586874
 0.2440073    -0.0593551
 0.2819299    -0.0591171
 0.3202436    -0.0581281
 0.3588445    -0.0565234
 0.3977147    -0.0544097
 0.4368461    -0.0519156
 0.4760315    -0.0491271
 0.5152580    -0.0460562
 0.5545681    -0.0427420
 0.5939232    -0.0392179
 0.6333562    -0.0355130
 0.6728766    -0.0316709
 0.7000113    -0.0289736
 0.7038040    -0.0285283
 0.7086967    -0.0278371
 0.7146897    -0.0269000
 0.7540517    -0.0205227
 0.7933659    -0.0141871
 0.8325472    -0.0079584
 0.8716227    -0.0018924
 0.9104564     0.0039411
 0.9484512     0.0094609
 0.9821499     0.0144283
 0.9999598     0.0174745
