MH 45  11% gapnew
 1.0000000     0.0000000
 0.9843097    -0.0001415
 0.9526680     0.0011415
 0.9181130     0.0036694
 0.8830650     0.0069331
 0.8479310     0.0107560
 0.8127580     0.0150829
 0.7774295     0.0198369
 0.7418846     0.0248897
 0.7061480     0.0301000
 0.6704317     0.0353109
 0.6348593     0.0403826
 0.5993950     0.0452234
 0.5640016     0.0497638
 0.5286442     0.0539520
 0.4933077     0.0577494
 0.4579934     0.0611188
 0.4226839     0.0640275
 0.3874202     0.0664400
 0.3522644     0.0682860
 0.3172093     0.0694908
 0.2823068     0.0699741
 0.2476524     0.0696206
 0.2133512     0.0682809
 0.1795176     0.0657738
 0.1462625     0.0619022
 0.1138561     0.0564582
 0.0827272     0.0492070
 0.0539954     0.0399934
 0.0301427     0.0291191
 0.0138772     0.0182469
 0.0055216     0.0099348
 0.0016412     0.0037467
 0.0004258     0.0005039
 0.0001219    -0.0009463
 0.0000040    -0.0023251
 0.0001198    -0.0036187
 0.0005314    -0.0048012
 0.0012739    -0.0058683
 0.0034379    -0.0079807
 0.0078232    -0.0117702
 0.0166405    -0.0159844
 0.0356144    -0.0224052
 0.0629191    -0.0286569
 0.0949811    -0.0336954
 0.1282052    -0.0370595
 0.1624775    -0.0392080
 0.1973475    -0.0404666
 0.2326005    -0.0410715
 0.2680182    -0.0411591
 0.3035471    -0.0408032
 0.3392170    -0.0400773
 0.3750586    -0.0390742
 0.4109960    -0.0378800
 0.4469601    -0.0365332
 0.4829391    -0.0350517
 0.5189183    -0.0334436
 0.5548905    -0.0317103
 0.5908650    -0.0298542
 0.6268586    -0.0278832
 0.6628679    -0.0258130
 0.6988966    -0.0236561
 0.7349797    -0.0214350
 0.7711028    -0.0191820
 0.8071977    -0.0169175
 0.8432313    -0.0146978
 0.8792429    -0.0125617
 0.9152907    -0.0105031
 0.9512420    -0.0084657
 0.9843483    -0.0063649
 1.0000000    -0.0049857
